Entity,Code,Year,"Deaths that are from all causes attributed to high systolic blood pressure, in both sexes aged all ages","Deaths that are from all causes attributed to diet high in sodium, in both sexes aged all ages","Deaths that are from all causes attributed to diet low in whole grains, in both sexes aged all ages","Deaths that are from all causes attributed to alcohol use, in both sexes aged all ages","Deaths that are from all causes attributed to diet low in fruits, in both sexes aged all ages","Deaths that are from all causes attributed to unsafe water source, in both sexes aged all ages","Deaths that are from all causes attributed to secondhand smoke, in both sexes aged all ages","Deaths that are from all causes attributed to low birth weight, in both sexes aged all ages","Deaths that are from all causes attributed to child wasting, in both sexes aged all ages","Deaths that are from all causes attributed to unsafe sex, in both sexes aged all ages","Deaths that are from all causes attributed to diet low in nuts and seeds, in both sexes aged all ages","Deaths that are from all causes attributed to household air pollution from solid fuels, in both sexes aged all ages","Deaths that are from all causes attributed to diet low in vegetables, in both sexes aged all ages","Deaths that are from all causes attributed to smoking, in both sexes aged all ages","Deaths that are from all causes attributed to high fasting plasma glucose, in both sexes aged all ages","Deaths that are from all causes attributed to air pollution, in both sexes aged all ages","Deaths that are from all causes attributed to high body-mass index, in both sexes aged all ages","Deaths that are from all causes attributed to unsafe sanitation, in both sexes aged all ages","Deaths that are from all causes attributed to drug use, in both sexes aged all ages","Deaths that are from all causes attributed to low bone mineral density, in both sexes aged all ages","Deaths that are from all causes attributed to vitamin a deficiency, in both sexes aged all ages","Deaths that are from all causes attributed to child stunting, in both sexes aged all ages","Deaths that are from all causes attributed to non-exclusive breastfeeding, in both sexes aged all ages","Deaths that are from all causes attributed to iron deficiency, in both sexes aged all ages","Deaths that are from all causes attributed to ambient particulate matter pollution, in both sexes aged all ages","Deaths that are from all causes attributed to low physical activity, in both sexes aged all ages","Deaths that are from all causes attributed to no access to handwashing facility, in both sexes aged all ages","Deaths that are from all causes attributed to high ldl cholesterol, in both sexes aged all ages"
Afghanistan,AFG,1990,25633.129,1044.9089,7077.316,356.2147,3184.955,3701.994,4794.465,16135.449,19546.088,350.76105,2319.2158,34372.13,3679.2275,5174.313,11448.792,37231.21,9517.873,2798.2375,173.57869,388.91074,2015.5115,7685.7427,2216.0415,563.81067,2782.4385,2636.6455,4825.345,12704.781
Afghanistan,AFG,1991,25871.803,1054.9584,7149.0854,363.7302,3248.3767,4309.282,4921.0957,17924.268,20334.38,361.18433,2449.2214,35391.926,3731.9663,5246.9497,11810.635,38314.742,9489.186,3254.4983,187.89368,388.78424,2056.3538,7885.6724,2501.0251,610.7883,2845.6702,2651.8865,5127.178,12843.513
Afghanistan,AFG,1992,26308.795,1074.6057,7297.3086,375.90024,3350.9207,5356.498,5278.5186,21199.498,22894.537,377.69016,2602.9768,38065.06,3827.286,5363.3354,12265.256,41172.36,9528.147,4041.5305,210.81355,392.7209,2100.431,8567.74,3052.5388,699.58734,3030.8933,2687.9224,5888.8438,13125.621
Afghanistan,AFG,1993,26961.36,1103.3705,7498.534,388.57156,3479.8118,7151.521,5734.0303,23794.549,27001.736,395.00436,2771.1943,41154.4,3951.3625,5522.3994,12820.992,44487.586,9611.336,5391.673,232.17093,410.67044,2315.5906,9875.29,3725.8757,772.8892,3255.7598,2744.3599,7006.908,13501.3545
Afghanistan,AFG,1994,27658.424,1133.8824,7697.589,398.727,3609.8315,7191.639,6050.229,24866.02,29205.467,410.3264,2932.4653,43153.13,4075.3533,5688.7485,13400.062,46633.84,9674.508,5417.606,247.29659,412.98883,2664.5537,11030.848,3832.5317,811.97064,3400.9597,2805.2195,7421.128,13872.584
Afghanistan,AFG,1995,28089.799,1153.5164,7807.483,405.5948,3702.924,8378.399,6167.301,25534.088,30942.652,422.05392,3048.6743,44023.715,4153.1816,5800.6177,13870.567,47566.395,9607.595,6313.244,260.44785,417.13748,3069.8186,11973.027,4123.6206,847.67914,3462.9854,2839.3992,7896.4897,14072.094
Afghanistan,AFG,1996,28586.686,1177.9955,7943.483,413.14865,3818.6401,8487.451,6298.3413,25997.12,31628.398,435.21976,3173.054,45005.1,4246.716,5934.1523,14413.107,48616.92,9502.938,6392.79,273.75812,422.8431,3213.6846,12425.735,4182.8613,882.6387,3534.0408,2878.1191,8098.1694,14312.666
Afghanistan,AFG,1997,29020.658,1202.0046,8074.6953,419.74252,3938.2112,9348.065,6424.5903,26245.795,32735.674,448.0131,3298.3623,46017.383,4338.7344,6065.6665,14969.791,49702.926,9285.666,7038.238,286.67682,425.37207,3228.4512,12804.997,4392.9336,913.6378,3605.012,2914.0706,8507.0205,14533.354
Afghanistan,AFG,1998,29349.463,1222.004,8172.987,424.83713,4037.9238,9787.739,6401.7847,25805.455,32759.574,458.31238,3400.7983,46054.62,4408.646,6177.6875,15502.303,49745.668,9023.99,7366.145,294.77005,429.15118,3412.7966,13011.108,4417.347,923.57794,3605.759,2943.7375,8560.266,14685.756
Afghanistan,AFG,1999,29712.416,1242.0443,8264.517,426.1493,4127.274,9931.319,6322.9595,25080.5,32270.566,469.33176,3482.0999,45681.484,4473.13,6288.3413,16058.179,49348.86,8857.039,7468.338,301.9108,428.06046,3662.4128,13051.778,4325.961,909.11475,3576.2876,2976.2888,8424.289,14831.136
Afghanistan,AFG,2000,29998.512,1259.5785,8328.075,427.25616,4174.338,9941.97,6227.147,24548.85,31558.754,481.85016,3516.159,45131.887,4500.7637,6377.8887,16544.955,48762.562,8828.806,7472.335,311.84225,430.62665,3855.2944,12964.921,4194.9717,897.3255,3541.87,3013.052,8233.216,14938.048
Afghanistan,AFG,2001,30421.115,1282.3248,8439.999,432.48083,4225.7876,10052.353,6213.916,24859.174,30938.504,500.0945,3542.601,45027.766,4539.3696,6505.155,17144.428,48659.824,9046.763,7546.9375,327.61285,435.7487,3943.696,12732.229,4094.2778,918.79193,3555.4956,3068.4128,8144.244,15165.458
Afghanistan,AFG,2002,30189.203,1275.3591,8383.026,431.85764,4183.861,10004.124,6103.46,25440.59,29618.75,506.54324,3486.897,44137.31,4483.116,6487.9395,17467.31,47732.44,9151.043,7496.789,337.39108,436.71426,3798.4202,12069.001,3946.608,937.4563,3530.763,3078.147,7915.048,15084.764
Afghanistan,AFG,2003,30156.8,1277.2598,8398.4795,437.1652,4179.426,10841.154,6341.241,25616.613,29097.965,518.4836,3456.7344,44952.656,4471.4756,6527.653,17921.342,48686.883,9410.104,8106.3643,356.1198,432.64514,1901.984,9861.984,3953.4324,972.4884,3668.4036,3104.4163,8481.814,15150.068
Afghanistan,AFG,2004,30225.2,1281.4689,8433.309,445.4607,4188.4214,10760.678,6382.6934,25458.86,28166.922,532.8079,3430.3276,44533.785,4474.7095,6594.475,18397.064,48336.797,9758.64,8028.0317,375.85245,439.91492,1329.6152,8927.902,3773.9639,984.8327,3729.4736,3136.9858,8440.165,15255.536
Afghanistan,AFG,2005,30089.117,1276.1282,8415.446,451.5343,4165.9834,10118.162,6272.2593,25149.115,26668.678,540.7814,3381.0222,43279.92,4448.846,6635.9478,18651.863,47107.3,10051.065,7532.369,390.27414,454.32657,1243.2245,8380.315,3518.799,1006.8853,3732.9456,3152.827,8033.158,15250.393
Afghanistan,AFG,2006,30075.049,1270.232,8417.8,456.08847,4142.0635,9081.464,6153.3555,24353.771,24986.506,549.4436,3324.904,41777.504,4432.2935,6720.0693,18917.31,45691.066,10518.565,6740.1304,400.936,454.10938,1231.4137,7884.5903,3215.6353,991.502,3805.5369,3177.9673,7481.417,15302.416
Afghanistan,AFG,2007,30080.486,1263.2738,8425.809,465.08417,4108.288,8168.4214,6010.1523,23778.26,23100.215,557.4425,3251.3562,40047.09,4417.299,6849.35,19182.729,44161.254,11217.751,6049.8564,413.63647,465.26495,1226.4557,7303.261,2992.496,1007.9291,3991.532,3213.8284,6899.6777,15384.448
Afghanistan,AFG,2008,30219.088,1260.8662,8474.079,478.34573,4088.2854,7245.032,5868.027,23533.463,21624.395,568.3754,3183.4438,38319.6,4422.322,7026.1265,19498.432,42696.285,12105.576,5350.326,429.9835,478.12692,1555.3989,7148.15,2832.3884,1008.06213,4252.975,3267.1392,6290.8667,15553.805
Afghanistan,AFG,2009,30279.576,1253.6901,8487.791,485.007,4049.6184,6436.679,5752.0654,23231.904,20263.617,576.40045,3101.8845,36675.242,4406.6973,7181.1147,19729.54,41348.305,12982.2,4732.135,445.2716,493.41452,1704.4379,6866.6406,2705.6604,1001.18585,4559.5977,3310.7844,5792.7227,15647.99
Afghanistan,AFG,2010,30352.13,1247.5607,8511.792,491.6477,4022.346,6020.6436,5714.1074,23176.441,19135.426,586.9363,3038.0027,35510.867,4399.981,7339.67,19882.525,40544.543,13785.337,4401.5356,463.4333,515.36005,1413.2369,6192.16,2661.0232,980.6133,4922.352,3344.4604,5535.335,15760.845
Afghanistan,AFG,2011,30684.31,1254.7906,8620.297,495.50476,4033.2324,5600.0527,5686.351,23180.793,18163.031,597.3071,3007.7449,34379.918,4432.2993,7571.6855,20215.63,39893.324,14665.804,4068.7205,482.44632,529.3569,1341.8167,5800.3335,2590.6748,957.91376,5421.173,3403.243,5274.554,16017.202
Afghanistan,AFG,2012,31089.564,1263.888,8752.891,501.86868,4052.0063,5242.67,5676.141,23171.758,17368.104,608.73584,2981.8325,33222.555,4476.3755,7855.574,20592.625,39363.207,15602.961,3783.6658,502.4172,546.91187,1326.7332,5541.463,2510.7524,927.9914,6097.228,3467.5361,5044.808,16320.1045
Afghanistan,AFG,2013,31462.35,1269.6818,8854.35,507.8528,4060.4324,5219.5923,5739.11,23176.191,16572.576,620.8558,2946.9133,32344.012,4505.726,8123.7925,20961.475,39187.14,16510.576,3739.4463,521.92523,581.3323,799.5437,4709.7173,2492.0837,900.3535,6839.7236,3524.6665,5041.0625,16551.955
Afghanistan,AFG,2014,32002.371,1282.7557,9001.364,513.68427,4092.1997,5010.0938,5757.657,22946.217,15918.871,633.14825,2938.0579,31295.715,4558.388,8428.712,21440.963,38711.02,17450.6,3562.5125,542.07306,592.1265,683.0483,4379.619,2412.296,865.95,7402.6553,3601.831,4889.4297,16864.314
Afghanistan,AFG,2015,32639.936,1301.691,9228.382,521.9364,4163.068,4796.163,5785.056,22691.521,15256.131,646.90717,2975.3188,30407.156,4653.2607,8786.03,21991.24,38227.17,18383.014,3377.9595,566.39777,589.87384,697.5783,4205.589,2310.9731,832.58203,7675.1245,3694.9897,4693.1943,17378.768
Afghanistan,AFG,2016,33393.406,1329.7535,9461.419,540.1196,4249.205,4677.8677,5871.1133,22639.857,14573.135,668.7791,3025.8352,29929.23,4752.932,9157.323,22659.652,37865.094,19345.883,3279.1113,601.95575,609.3899,542.57367,3834.4624,2211.0793,807.4768,7754.5903,3790.1418,4568.0796,17859.305
Afghanistan,AFG,2017,34382.44,1369.2069,9787.789,563.75977,4373.7915,4631.962,5950.3994,22579.477,13969.884,693.34064,3114.5408,29497.465,4903.506,9586.488,23426.871,37535.05,20344.879,3231.386,644.04224,614.83826,524.77216,3634.7185,2106.5168,786.1834,7848.1533,3912.2466,4411.307,18547.572
Afghanistan,AFG,2018,35262.6,1400.249,10085.003,574.54584,4486.7295,3993.8105,5987.4893,22379.293,13066.603,715.1947,3197.5205,28817.945,5036.584,9974.792,24183.252,37160.492,21250.582,2771.4783,673.0167,642.23627,608.2867,3535.8152,1881.7853,778.18884,8131.152,4021.104,4077.5671,19182.75
Afghanistan,AFG,2019,36017.17,1421.8329,10334.866,583.0294,4582.984,3750.7053,6061.5737,22132.49,12284.773,741.2074,3268.835,28168.416,5147.981,10305.869,24887.693,37033.06,22048.094,2592.4683,699.909,631.51385,392.73685,3071.4268,1762.7053,761.4203,8678.681,4117.169,3941.3577,19745.988
African Region (WHO),,1990,356865.94,46758.426,45762.555,175614.55,43476.457,809960.5,53458.844,625281.1,1190355.6,217509.42,13266.84,776993.5,37122.707,175453.8,181050.44,868865.56,119182.12,604349,8214.215,13858.038,101145.01,305354.78,168704.1,18607.3,90998.695,15087.655,473096.22,86969.54
African Region (WHO),,1991,365974.62,47439.094,46897.2,179795.3,44503.65,829073,53897.863,633571.1,1205693.6,275438.62,13600.975,783902.8,37917.85,179235.25,187425.05,877997.44,123605.89,618111.9,10201.061,14291.92,100842.17,308125.28,175015.64,18767.82,93370.35,15552.429,481774.66,89330.305
African Region (WHO),,1992,377948.12,48304.363,48316.805,184243.05,45995.87,819085.3,54829.965,641700.25,1200327.1,344159.16,14066.73,792625.2,38908.57,183930.73,195365.14,889898.1,129691.68,610435.8,12748.944,14773.855,99075.04,307087.9,172502.5,19064.012,96703.15,16261.784,480386.2,92469.4
African Region (WHO),,1993,386489.88,48804.64,49392.707,186482.31,46971.566,815640.06,54977.27,652139.56,1196377.6,421919.7,14276.84,799438.7,39546.38,185843.22,201326.83,898921.25,132879.66,607548.56,15605.356,15036.5205,97309.016,305786.34,172417.84,19208.686,98954.75,16752.846,480444.28,94661.91
African Region (WHO),,1994,398794.28,49520.39,50735.734,191042.92,48357.477,832167.6,55818.438,664160.5,1199815,508319.34,14669.712,807345.8,40449.457,190794.3,209574.25,910657.2,139411.3,619531.2,19030.428,15490.154,96777.31,306250.9,174424.52,19504.217,102703.65,17547.236,488628.38,97702.15
African Region (WHO),,1995,410152.56,50424.96,51969.61,196283.88,49540.33,824880.8,56213.992,676253,1194612,599839.1,14959.784,815385.56,41332.96,195920.84,216941.11,922575.7,144080.11,614311.9,22778.268,15951.594,95919.72,304929.47,174108.03,19601.514,106220.57,18122.098,487466.25,100242.484
African Region (WHO),,1996,425132.78,51286.035,53584.168,201066.53,51071.586,826719.9,56858.562,688691.94,1189062.5,694251.5,15336.749,821070.56,42422.332,201739.1,226600.17,933426.75,151756.78,615510.25,26644.805,16535.645,95255.24,303220.06,174434.64,19881.318,111168.48,19030.457,488745.25,103851.695
African Region (WHO),,1997,442718.47,52349.266,55349.79,206822.34,53003.73,823096.75,58017.535,699195.3,1179666.9,790026.94,15915.731,824065.6,43562.38,209218.48,238177.4,943593.1,162136.97,612458.2,30657.936,16943.68,93686.54,299936.9,173654.9,20151.695,118413.34,20227.766,487913.22,108140.11
African Region (WHO),,1998,457000.38,53084.316,56769.42,211698.28,54350.215,818391.5,58387.727,709859.5,1170878.9,883310.9,16093.797,827380.2,44385.83,213098.33,247189.66,952548.7,169102.97,608567.5,34406.19,17495.598,91825.6,296218.4,172863.5,20666.396,124293.484,21093.842,486682.9,111192.266
